Company,Sector,Industry
RELIANCE,Energy,Oil & Gas
TCS,IT,IT Services
HDFCBANK,Banking,Private Bank
INFY,IT,IT Services
ICICIBANK,Banking,Private Bank
HINDUNILVR,FMCG,Consumer Goods
ITC,FMCG,Consumer Goods
SBIN,Banking,Public Bank
BHARTIARTL,Telecom,Telecommunications
KOTAKBANK,Banking,Private Bank
LT,Diversified,Engineering & Construction
AXISBANK,Banking,Private Bank
ASIANPAINT,Diversified,Paints
MARUTI,Auto,Automobile
HCLTECH,IT,IT Services
SUNPHARMA,Pharma,Pharmaceuticals
BAJFINANCE,Banking,NBFC
TITAN,Diversified,Jewellery
ULTRACEMCO,Diversified,Cement
NESTLEIND,FMCG,Food Products
WIPRO,IT,IT Services
ONGC,Energy,Oil & Gas
NTPC,Energy,Power Generation
POWERGRID,Energy,Power Distribution
M&M,Auto,Automobile
TATAMOTORS,Auto,Automobile
TATASTEEL,Metals,Steel
TECHM,IT,IT Services
ADANIENT,Diversified,Conglomerate
ADANIPORTS,Diversified,Infrastructure
BAJAJFINSV,Banking,NBFC
COALINDIA,Metals,Mining
DIVISLAB,Pharma,Pharmaceuticals
DRREDDY,Pharma,Pharmaceuticals
EICHERMOT,Auto,Automobile
GRASIM,Diversified,Cement & Textiles
HDFCLIFE,Banking,Insurance
HEROMOTOCO,Auto,Automobile
HINDALCO,Metals,Aluminium
HINDPETRO,Energy,Oil & Gas
INDUSINDBK,Banking,Private Bank
JSWSTEEL,Metals,Steel
BRITANNIA,FMCG,Food Products
CIPLA,Pharma,Pharmaceuticals
APOLLOHOSP,Pharma,Healthcare Services
BAJAJ-AUTO,Auto,Automobile
BPCL,Energy,Oil & Gas
SBILIFE,Banking,Insurance
TATACONSUM,FMCG,Consumer Goods
UPL,Diversified,Agrochemicals
